place,count,mag,depth
 Alaska,2644,1.531391831,36.98518911
 California,2144,1.002821112,4.088530784
 CA,1495,0.941311037,7.219043478
 Nevada,860,0.704093023,7.245523256
 Montana,328,1.280243902,9.835335366
 Idaho,288,1.734444444,6.383368056
 Washington,231,0.95038961,8.70969697
 Hawaii,161,1.861925466,14.71324224
 Utah,69,1.059130435,6.022318841
 Indonesia,66,4.625757576,94.14818182
 Canada,63,1.71968254,7.193809524
 Mexico,63,4.43015873,44.70968254
NA,63,4.851612903,96.52253968
 Oklahoma,48,2.66875,6.087791667
 Oregon,48,1.475208333,8.214791667
 Japan,44,4.713636364,94.69704545
 Wyoming,44,0.995681818,6.008863636
 Chile,40,4.4675,61.3085
 Kansas,33,2.234848485,5.460727273
 Puerto Rico,28,2.703571429,27.64607143
 Fiji,21,4.39047619,558.1219048
 Northern Mariana Islands,21,4.666666667,136.0514286
 B.C.,20,2.038,10.07
 New Zealand,19,4.747368421,50.53473684
 Papua New Guinea,19,4.757894737,76.21210526
 Russia,19,4.463157895,91.01421053
 Tonga,18,5.044444444,50.54055556
 Philippines,17,4.605882353,122.9029412
 Peru,12,4.466666667,95.88333333
 Missouri,11,1.797272727,10.31818182
 Texas,11,2.763636364,4.240909091
 India,10,4.55,33.562
 Tennessee,10,1.783,11.768
 Argentina,9,4.411111111,175.7233333
 Iran,9,4.588888889,20.41555556
 Solomon Islands,9,4.688888889,76.72888889
 Dominican Republic,8,2.95125,70.125
 Ecuador,7,4.257142857,104.6642857
 Nicaragua,7,4.571428571,48.53285714
 China,6,4.633333333,18.38
 Greece,6,4.483333333,16.43166667
 Bolivia,4,4.525,180.8025
 Vanuatu,4,4.575,144.035
 Afghanistan,3,4.366666667,133.4366667
 British Virgin Islands,3,3.42,27.96666667
 Costa Rica,3,3.9,26.88333333
 El Salvador,3,4.433333333,59.15666667
 Guam,3,4.833333333,24.76
 New Hampshire,3,1.566666667,5.803333333
 South Georgia and the South Sandwich Islands,3,5,48.57666667
 Svalbard and Jan Mayen,3,4.766666667,10
 Taiwan,3,4.433333333,17.58
 Arizona,2,1.965,13.125
 Arkansas,2,2.675,13.58
 Burma,2,4.55,80.095
 Colombia,2,4.7,152.56
 Guatemala,2,4.1,37.74
 Kentucky,2,2.25,14.585
 Maine,2,1.5,4.355
 New Jersey,2,1.345,8.255
 New York,2,1.32,4.5
 Tajikistan,2,4.6,126.425
 Trinidad and Tobago,2,4.7,10
 Turkey,2,4.6,49.69
 Wallis and Futuna,2,4.6,10
 Yemen,2,4.35,10
 Alabama,1,2.72,5.02
 Albania,1,3.3,10.6
 Algeria,1,4,10
 Azerbaijan,1,4.5,10
 Colorado,1,3.4,5.37
 France,1,3.5,7.47
 French Southern Territories,1,4.7,13.54
 Japan region,1,4,382.87
 Kyrgyzstan,1,4.2,10
 Massachusetts,1,1.6,6.51
 Micronesia,1,4.8,26.74
 New Caledonia,1,5,10
 New Mexico,1,3.2,5
 North Carolina,1,2.5,13.8
 North Korea,1,2.9,5
 Saint Vincent and the Grenadines,1,4.3,136.22
 South Carolina,1,1.9,0.16
 Tanzania,1,5.2,10
 Uzbekistan,1,5,11.06
 Venezuela,1,5.1,35.35
 West Virginia,1,2.44,8.19
